Cell	I-0.53	I-0.87	I-1.57	I-3.37	I-4.34	I-4.47	I-4.79	I-5.38	I-5.58	I-7.00	I-7.05	I-7.96	I-8.22	I-9.05	I-9.80	I-10.71	I-11.26	I-11.46	I-12.69	I-13.35	I-13.65	I-13.94	I-14.38	I-14.39	I-14.65	II-0.05	II-0.14	II-1.64	II-2.77	II-5.01	II-5.15	II-6.04	II-6.82	II-7.17	II-7.77	II-8.68	II-8.72	II-10.55	II-11.03	II-11.06	II-11.47	II-12.46	II-12.71	II-13.82	II-14.29	III-2.08	III-2.37	III-4.06	III-4.10	III-4.45	III-6.85	III-8.00	III-8.21	III-8.26	III-8.92	III-12.86	IV-0.56	IV-1.69	IV-3.21	IV-5.88	IV-5.96	IV-6.40	IV-6.67	IV-6.79	IV-8.39	IV-9.06	IV-9.11	IV-10.51	IV-11.19	IV-13.02	IV-13.38	IV-14.28	IV-15.59	IV-16.64	V-0.38	V-0.88	V-1.25	V-1.61	V-5.09	V-5.10	V-9.65	V-11.81	V-13.14	V-13.62	V-13.72	V-14.31	V-14.72	V-14.78	V-15.66	V-17.01	V-17.03	V-17.30	V-17.43	V-17.71	V-18.86	V-19.09	V-19.13	X-0.17	X-2.70	X-3.80	X-4.52	X-4.63	X-6.01	X-6.76	X-8.16	X-9.03	X-13.48	X-17.15	X-17.23	X-17.29	X-17.60	X-17.69	X-17.72
ABalaaaala	0	0	0	0	0	0	0	0	2.086097591	0	0	1.974806243	1.926876201	0	0	0	0	0	0	0	0	1.530632406	0	0	0	0	0	0	0	0	0	0.395314686	0	0	0	2.16894183	1.203849311	1.014877312	0	0	2.474004541	0	0	0.776526583	0	0	0	0	0	4.577307288	0	2.076184256	0	0	0	0	0	0	0	0	0	0	0	1.822850973	1.277181908	0	1.607819579	0	0	0	0	0	0	0	0	0	0	0	1.996828506	0	0	0.980145296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaaalp	0	0	0	0	0	0	0	0	2.647519462	0	1.585920282	2.128040603	2.056329504	0	1.193996394	1.985736582	0	0	0	0	0	2.012759167	0	0	0	0	0	0	0	0	1.900599272	0	0.174773134	0	0	3.318089564	1.892251134	0	0	0	2.120841301	0	0	1.278670563	0	0	0	1.804092825	0	4.654145373	0	2.76590246	0	0	0	0	0	0	0	0	0	0	0	1.890513548	1.812878532	0	0	1.888871726	0	0	0	0	0	0	0	0	0	0	2.715231962	0	0	1.816379948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaaarl	0	0	0	0	0	0	2.183833184	0	2.003746897	0	0	2.420833752	0.874632989	0	0	2.081070689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36154912	1.059697945	1.917674967	0	0	2.07121239	0	0	1.334517728	0	0	0	2.097364414	0.665090072	4.619526407	0	2.248726562	0	0.77104885	0	0	0	0	0	0	0	0	0	2.096072823	1.497962994	0	0	0	0	0	0	0	0	0	0	0	0	0	2.043021851	0	0	0	0	0	0	0	1.858877568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaaarr	0	0	0	0	0	0	2.004978289	0	1.605092646	0	0	2.572232371	0	0	1.720653927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3703611	0	0	0	0	0	1.581182017	1.920847122	1.592954391	0	0	1.671673902	0	0	1.374487905	0	0	0	2.555285272	1.010559315	4.771734825	0	2.361743255	0.231585729	1.98586965	0	0	0	0	0	0	0	0	0	2.00927951	1.838479713	0	0.870648753	2.059272165	0	0	0	0	0	0	0	0	0	0	2.32962689	0	0	1.792509154	0	0	0	0	2.595394899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaapal	0	0	0	0	0	1.486388909	0	1.221972355	2.962655929	0	2.580494004	3.187313394	0	1.556736932	1.368984802	2.636820673	0	0	0	0	0	0	0	0	2.069230863	0	0	0	0	0	2.410898437	0	1.358228031	1.393398406	0	2.992769993	2.502287331	2.543146463	0	0	2.94290803	0	0	1.547064156	0	0	0	2.415182862	1.560245529	5.002870584	0	2.760138302	0	2.267007918	0	0	0	0	0	0	0	0	0	2.562923597	2.234666536	0	2.078911036	3.003918317	0	0	2.974764814	0	0	0	0	0	0	0	3.407910861	0	2.146470802	2.822604963	0	1.897131337	0.848634192	2.689147854	0	0	0	0	0	0	0	0	2.085801531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaapar	0	0	0	0	0	0	0	0.736573827	2.766785286	0	0	2.956596569	0	0	0	0	0	0	0	0	0	0	0	0	1.61222832	0	0	0	0	0	2.031316096	0	0	0	2.355566296	2.243776589	2.664162106	0	0	0	2.975671246	0	0	0.419300719	0	0	0	2.110893808	1.735302659	5.114690656	0	2.778544017	0	1.918209479	0	0	0	0	0	0	0	0	0	2.646285847	0	0	0	2.720670919	0	0	2.818969035	0	0	0	0	0	0	0	3.203696011	0	0	2.487490746	0	0	0	0	0	0	0	0	0	0	0	0	1.381156474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaappl	0	0	0	0	0	0	3.178399191	1.779991555	3.16802626	0	0	2.49620172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.387083405	1.708278885	1.834829931	0	0	0	3.399001616	2.776180979	0	0	0	2.730439106	0	0	0	0	0	0	2.392234213	0	4.722651424	0	2.950792934	0	2.117384029	0	0	0	0	0	0	0	2.219297584	0	2.396189256	1.795302268	0	2.65252228	2.800755304	0	0	2.564780776	0	0	0	0	0	0	0	3.068691693	0	0	1.910117465	0	2.317982752	0	0	2.118303918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaaappr	0	0	0	0	0	0	3.365478703	2.002880129	3.130418686	1.221331525	0	3.072767136	0	0	1.734601744	2.118723134	0	0	0	0	0	1.234058444	0	0	0	0	0	0	0	2.645259064	2.341026241	1.978838121	0	0	0	3.671584006	2.946243225	0	0	0	3.087801074	0	0	1.237176298	0	0	0	2.818040504	1.216550959	4.874553379	0	3.156881222	0	2.20707408	0	0	0	0	0	0	1.383586311	2.444342181	0	2.842891249	1.983039022	0	3.106937581	2.947303241	0	0	2.758181617	0	0	0.687923762	0	0	0	0	2.902521766	0	0	2.619441403	0	2.051159967	0	0	2.217369314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaapaaa	0	0	0	0	0	0	0	0	2.190324093	0	0	1.929196282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109362063	2.585454843	1.367055154	0	0	0	2.10450003	0	0	0	0	0	0	1.013128231	1.717730967	3.691248511	0	2.666092985	0	1.756224699	1.858599179	0	0	0	0	0	0	1.988338545	0	0	1.131144113	0	0	2.786697314	0	0	0	0	0	0	0	0	0	0	1.753324056	0	0	2.622590126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalaapaap	0	0	0	0	0	0	0	0	2.50337435	1.87358465	0	2.44925815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.788315682	2.56354719	2.203079356	0	0	0	2.33029551	0	0	0	0	0	0	1.246956459	2.142138886	4.102239116	0	3.119083831	0	1.904783097	2.291276823	0	0	0	0	0	0	2.167161534	0	0	1.590275477	0	0	3.144020543	0	0	2.019620845	0	0	0	0	0	0	0	1.874606739	0	0.367359682	3.044632461	0	0	0	0	0	0	0	0	0	0	0	0	0.623029956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
