cell_name	fate
ABalaaaala	Neu
ABalaaaalp	Neu
ABalaaaarl	Neu
ABalaaaarr	Neu
ABalaaapal	Neu
ABalaaapar	Neu
ABalaaappl	Neu
ABalaaappr	Neu
ABalaapaaa	Neu
ABalaapaap	Neu
ABalaapapa	Dea
ABalaapapp	Neu
ABalaappaa	Dea
ABalaappap	Neu
ABalaapppa	Neu
ABalaapppp	Neu
ABalapaaaa	Neu
ABalapaaap	Neu
ABalapaapa	Neu
ABalapaapp	Neu
ABalapapaa	Dea
ABalapapap	Neu
ABalapappa	Neu
ABalapappp	Neu
ABalappaaa	Dea
ABalappaap	Neu
ABalappapa	Neu
ABalappapp	Neu
ABalapppaa	Neu
ABalapppap	Neu
ABalappppa	Neu
ABalappppp	Neu
ABalpaaaaa	Pha
ABalpaaaap	Pha
ABalpaaapa	Pha
ABalpaaapp	Pha
ABalpaapaa	other
ABalpaapap	Pha
ABalpaappa	Ski
ABalpaappp	Ski
ABalpapaaa	other
ABalpapaap	Ski
ABalpapapa	Neu
ABalpapapp	Neu
ABalpappaa	Pha
ABalpappap	Pha
ABalpapppa	Pha
ABalpapppp	Pha
ABalppaaaa	Dea
ABalppaaap	Neu
ABalppaapa	Dea
ABalppaapp	Neu
ABalppapaa	Neu
ABalppapap	Neu
ABalppappa	Neu
ABalppappp	Neu
ABalpppaaa	Neu
ABalpppaap	Neu
ABalpppapa	Neu
ABalpppapp	Neu
ABalppppaa	Neu
ABalppppap	Neu
ABalpppppa	Neu
ABalpppppp	Neu
ABaraaaaaa	Pha
ABaraaaaap	Pha
ABaraaaapa	Pha
ABaraaaapp	Dea
ABaraaapaa	other
ABaraaapap	Pha
ABaraaappa	Ski
ABaraaappp	Ski
ABaraapaaa	Pha
ABaraapaap	Pha
ABaraapapa	Pha
ABaraapapp	Pha
ABaraappaa	Pha
ABaraappap	Pha
ABaraapppa	Pha
ABaraapppp	Pha
ABarapaaaa	Pha
ABarapaaap	Pha
ABarapaapa	Pha
ABarapaapp	Pha
ABarapapaa	Pha
ABarapapap	other
ABarapappa	Pha
ABarapappp	Pha
ABarappaaa	Neu
ABarappaap	Ski
ABarappapa	Neu
ABarappapp	Neu
ABarapppaa	Neu
ABarapppap	Neu
ABarappppa	Neu
ABarappppp	Neu
ABarpaaaaa	Neu
ABarpaaaap	Neu
ABarpaaapa	Neu
ABarpaaapp	Dea
ABarpaapaa	Ski
ABarpaapap	Ski
ABarpaappa	Ski
ABarpaappp	Ski
ABarpapaaa	Neu
ABarpapaap	Neu
ABarpapapa	Ski
ABarpapapp	Ski
ABarpappaa	Ski
ABarpappap	Ski
ABarpapppa	Ski
ABarpapppp	Ski
ABarppaaaa	Neu
ABarppaaap	Ski
ABarppaapa	Ski
ABarppaapp	Neu
ABarppapaa	Ski
ABarppapap	Ski
ABarppappa	Ski
ABarppappp	Ski
ABarpppaaa	Neu
ABarpppaap	Ski
ABarpppapa	Ski
ABarpppapp	Neu
ABarppppaa	Ski
ABarppppap	Ski
ABarpppppa	Ski
ABarpppppp	Ski
ABplaaaaaa	Neu
ABplaaaaap	Neu
ABplaaaapa	Ski
ABplaaaapp	Ski
ABplaaapaa	Ski
ABplaaapap	Ski
ABplaaappa	Ski
ABplaaappp	Ski
ABplaapaaa	other
ABplaapaap	Neu
ABplaapapa	Neu
ABplaapapp	Neu
ABplaappaa	Ski
ABplaappap	Ski
ABplaapppa	Ski
ABplaapppp	Ski
ABplapaaaa	Neu
