Left cell	Right cell	Tissue type of left cell	Tissue type of right cell	Cell lineage distance	CAL divergence	Mean CAL divergence between all intra-tissue cells at the same lineage distance	Differentiated state
ABalaaaala	ABalaapaaa	Neu	Neu	8	6.44044534	11.88541857	progenitor cell
ABalaaaalp	ABalaapaap	Neu	Neu	8	7.739707525	11.88541857	progenitor cell
ABalaaaarl	ABalaaaarr	Neu	Neu	2	5.134234675	5.857715203	progenitor cell
ABalaaapal	ABalaaappl	Neu	Neu	4	9.210261252	8.336407063	progenitor cell
ABalaaapar	ABalaaappr	Neu	Neu	4	8.931939755	8.336407063	progenitor cell
ABalppaapa	ABalaapapa	Dea	Dea	12	7.887892705	10.92238161	completed all embryonic mitosis
ABalppaapp	ABalaapapp	Neu	Neu	12	8.371239411	12.78935105	progenitor cell
ABalppaaaa	ABalaappaa	Dea	Dea	12	7.108913748	10.92238161	completed all embryonic mitosis
ABalppaaap	ABalaappap	Neu	Neu	12	9.173781292	12.78935105	progenitor cell
ABalapaapa	ABalaapppa	Neu	Neu	10	9.052219606	12.34687583	progenitor cell
ABalapaapp	ABalaapppp	Neu	Neu	10	9.267563219	12.34687583	progenitor cell
ABalapaaaa	ABalappapa	Neu	Neu	8	9.453731621	11.88541857	progenitor cell
ABalapaaap	ABalappapp	Neu	Neu	8	10.63873974	11.88541857	progenitor cell
ABalapapap	ABalapppap	Neu	Neu	8	12.19351163	11.88541857	progenitor cell
ABalapappa	ABalappppa	Neu	Neu	8	9.885727617	11.88541857	progenitor cell
ABalapappp	ABalappppp	Neu	Neu	8	11.07740881	11.88541857	progenitor cell
ABalpaaaaa	ABarapaaaa	Pha	Pha	14	12.1670777	13.84914694	progenitor cell
ABalpaaaap	ABarapaaap	Pha	Pha	14	11.17437492	13.84914694	progenitor cell
ABalpaaapa	ABarapaapa	Pha	Pha	14	16.41191082	13.84914694	progenitor cell
ABalpaaapp	ABarapaapp	Pha	Pha	14	12.23499699	13.84914694	progenitor cell
ABalpaapaa	ABaraaapaa	Other	Other	14	10.4740924	NA	progenitor cell
ABalpaappa	ABaraaappa	Ski	Ski	14	11.54323035	15.65403748	progenitor cell
ABalpaappp	ABaraaappp	Ski	Ski	14	10.78712611	15.65403748	progenitor cell
ABalpapaaa	ABarappaaa	Other	Neu	14	7.488728091	NA	progenitor cell
ABalpapapa	ABarappapa	Neu	Neu	14	7.49970553	13.88212103	progenitor cell
ABalpapapp	ABarappapp	Neu	Neu	14	7.445385233	13.88212103	progenitor cell
ABalpappaa	ABarapapaa	Pha	Pha	14	12.0466052	13.84914694	progenitor cell
ABalpapppa	ABarapappa	Pha	Pha	14	13.10453983	13.84914694	progenitor cell
ABalpapppp	ABarapappp	Pha	Pha	14	11.17587481	13.84914694	progenitor cell
ABalppapaa	ABarapppaa	Neu	Neu	14	7.949238082	13.88212103	progenitor cell
ABalppapap	ABarapppap	Neu	Neu	14	8.394971846	13.88212103	progenitor cell
ABalppappa	ABarappppa	Neu	Neu	14	7.419633806	13.88212103	progenitor cell
ABalppappp	ABarappppp	Neu	Neu	14	8.502240302	13.88212103	progenitor cell
ABalpppaaa	ABpraaaaaa	Neu	Neu	16	9.529061222	15.2593189	progenitor cell
ABalpppaap	ABpraaaaap	Neu	Neu	16	12.21205211	15.2593189	progenitor cell
ABalpppapa	ABpraaaapa	Neu	Neu	16	9.667676652	15.2593189	progenitor cell
ABalpppapp	ABpraaaapp	Neu	Neu	16	10.67819269	15.2593189	progenitor cell
ABalppppaa	ABpraaapaa	Neu	Neu	16	11.16924029	15.2593189	progenitor cell
ABalppppap	ABpraaapap	Neu	Neu	16	11.11021357	15.2593189	progenitor cell
ABalpppppa	ABpraaappa	Neu	Neu	16	11.14999262	15.2593189	progenitor cell
ABalpppppp	ABpraaappp	Neu	Neu	16	12.09892814	15.2593189	progenitor cell
ABaraaaaaa	ABaraaaaap	Pha	Pha	2	5.688419971	6.14073633	progenitor cell
ABaraapaaa	ABaraappaa	Pha	Pha	6	9.32199587	10.82107946	progenitor cell
ABaraapaap	ABaraappap	Pha	Pha	6	9.199670631	10.82107946	progenitor cell
ABaraapapa	ABaraapppa	Pha	Pha	6	10.63064756	10.82107946	progenitor cell
ABaraapapp	ABaraapppp	Pha	Pha	6	7.776576054	10.82107946	progenitor cell
