cell_name	cell_type
ABalaapapa	Dea
ABalaappaa	Dea
ABalapapaa	Dea
ABalappaaa	Dea
ABalppaaaa	Dea
ABalppaapa	Dea
ABaraaaapp	Dea
ABarpaaapp	Dea
ABplpappap	Dea
ABplppaaap	Dea
ABplpppapp	Dea
ABprppaaap	Dea
ABprpppapp	Dea
ABalaaaalar	Dea
ABalaaaalpa	Dea
ABalaaaarla	Dea
ABalaaaarra	Dea
ABalaaaparl	Dea
ABalaaapplr	Dea
ABalaapaaal	Dea
ABalaapaapa	Dea
ABalaapappa	Dea
ABalaapppap	Dea
ABalapaaaap	Dea
ABalapaapap	Dea
ABalappaapp	Dea
ABalappapap	Dea
ABalpaaaapp	Dea
ABalpaaapap	Dea
ABalpaaappa	Dea
ABalpapaapp	Dea
ABalpapappa	Dea
ABalpappaaa	Dea
ABalpapppap	Dea
ABalppaappa	Dea
ABalpppaapv	Dea
ABalpppappa	Dea
ABalppppaav	Dea
ABalppppapp	Dea
ABaraaaapaa	Dea
ABarapaaapp	Dea
ABarapaapap	Dea
ABarapapaaa	Dea
ABarapappap	Dea
ABarappaaap	Dea
ABarappaapp	Dea
ABarpapaaap	Dea
ABarpapaapa	Dea
ABplaaaaaap	Dea
ABplaaaaapa	Dea
ABplapaaaaa	Dea
ABplapapppa	Dea
ABplapppaap	Dea
ABplapppapa	Dea
ABplpaapapp	Dea
ABplppaapaa	Dea
ABplppppppa	Dea
ABpraaaaapv	Dea
ABpraaaappa	Dea
ABpraaapaav	Dea
ABpraaapapp	Dea
ABprapaaaaa	Dea
ABprapapppa	Dea
ABprapppaap	Dea
ABprapppapa	Dea
ABprpaapapp	Dea
ABprppaapaa	Dea
ABprppppppa	Dea
ABalaappppap	Dea
ABalapaappap	Dea
ABalapapapap	Dea
ABalapappaap	Dea
ABalapppapap	Dea
ABalappppaap	Dea
ABalpapapapa	Dea
ABalpappaapp	Dea
ABalppapppap	Dea
ABalpppapppp	Dea
ABalppppapap	Dea
ABalppppppap	Dea
ABaraapapaad	Dea
ABaraapppaad	Dea
ABarapapaapp	Dea
ABarappapapa	Dea
ABarapppppap	Dea
ABplaapapppp	Dea
ABplapappppp	Dea
ABplpaaappap	Dea
ABplpaappppp	Dea
ABplppaaaapa	Dea
ABpraaaapppp	Dea
ABpraaapapap	Dea
ABpraaapppap	Dea
ABpraapapppp	Dea
ABprapappppp	Dea
ABprpaaappap	Dea
ABprpaappppp	Dea
ABprppaaaapa	Dea
Caapap	Dea
MSpaapp	Dea
MSaaappa	Dea
MSapaapa	Dea
MSappapa	Dea
MSppaapa	Dea
MSpppaaa	Dea
MSpppapa	Dea
MSaaaappa	Dea
MSaapapap	Dea
MSpaaaaap	Dea
MSpaapaap	Dea
MSpapapap	Dea
MSaapaapap	Dea
MSpapaapap	Dea
